episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
27,0,-61.48,0.9917,1,0.1835,0.07,no_food_timeout,,,0,0,27,28
28,0,-61.08,0.9907,1,0.1556,0.07,no_food_timeout,,,0,0,28,28
29,0,-62.56,0.9897,1,0.0941,0.07,no_food_timeout,,,0,0,29,36
30,1,-68.35,0.9884,1,0.1506,0.1,no_food_timeout,,,0,0,30,38
31,0,-61.32,0.9875,1,0.1119,0.1,no_food_timeout,,,0,0,31,39
32,0,-61.0,0.9865,1,0.0883,0.09,no_food_timeout,,,0,0,32,39
33,0,-61.48,0.9855,1,0.1209,0.09,no_food_timeout,,,0,0,33,41
34,0,-61.16,0.9846,1,0.0855,0.09,no_food_timeout,,,0,0,34,41
35,0,-61.2,0.9836,1,0.0636,0.09,no_food_timeout,,,0,0,35,42
36,1,-62.11,0.9824,1,0.124,0.11,no_food_timeout,,,0,0,36,42
37,0,-60.96,0.9814,1,0.1408,0.11,no_food_timeout,,,0,0,37,42
38,1,-87.92,0.9798,1,0.0969,0.13,no_food_timeout,,,0,0,38,47
39,0,-61.32,0.9788,1,0.068,0.13,no_food_timeout,,,0,0,39,48
40,0,-60.88,0.9778,1,0.0906,0.12,no_food_timeout,,,0,0,40,48
41,0,-61.04,0.9769,1,0.1048,0.12,no_food_timeout,,,0,0,41,48
42,0,-61.68,0.9759,1,0.0438,0.12,no_food_timeout,,,0,0,42,51
43,0,-61.84,0.9749,1,0.0586,0.12,no_food_timeout,,,0,0,43,55
44,0,-61.12,0.974,1,0.085,0.11,no_food_timeout,,,0,0,44,55
45,0,-61.04,0.973,1,0.0675,0.11,no_food_timeout,,,0,0,45,55
46,0,-61.12,0.972,1,0.0506,0.11,no_food_timeout,,,0,0,46,55
47,0,-61.12,0.9711,1,0.0336,0.11,no_food_timeout,,,0,0,47,56
48,0,-62.6,0.9701,1,0.051,0.1,no_food_timeout,,,0,0,48,64
49,0,-61.44,0.9691,1,0.1057,0.1,no_food_timeout,,,0,0,49,65
50,1,-64.23,0.9679,1,0.0606,0.12,no_food_timeout,,,0,0,50,66
