episode,score,total_reward,epsilon,best_score,loss,avg50_score,death_reason,eval_avg_score,eval_max_score,wall_collision_count,self_collision_count,no_food_timeout_count,repeat_penalty_count
1,0,-23.91,1.0,0,0,0.0,wall_collision,,,1,0,0,0
2,0,-20.77,1.0,0,0,0.0,wall_collision,,,2,0,0,0
3,0,-31.21,1.0,0,0,0.0,wall_collision,,,3,0,0,0
4,1,-24.21,1.0,1,0,0.25,wall_collision,,,4,0,0,0
5,0,-61.76,1.0,1,0,0.2,no_food_timeout,,,4,0,1,3
6,1,-68.88,1.0,1,0,0.33,wall_collision,,,5,0,1,4
7,0,-61.08,1.0,1,0,0.29,no_food_timeout,,,5,0,2,4
8,0,-56.55,1.0,1,0,0.25,wall_collision,,,6,0,2,4
9,0,-31.91,1.0,1,0,0.22,wall_collision,,,7,0,2,4
10,1,-31.63,1.0,1,0,0.3,wall_collision,,,8,0,2,4
11,0,-61.44,1.0,1,0,0.27,no_food_timeout,,,8,0,3,6
12,0,-61.12,1.0,1,0,0.25,no_food_timeout,,,8,0,4,6
13,0,-37.7,1.0,1,0,0.23,wall_collision,,,9,0,4,7
14,0,-21.87,1.0,1,0,0.21,wall_collision,,,10,0,4,7
15,0,-36.52,1.0,1,0,0.2,wall_collision,,,11,0,4,7
16,0,-31.66,1.0,1,0,0.19,wall_collision,,,12,0,4,7
17,0,-61.0,1.0,1,0,0.18,no_food_timeout,,,12,0,5,7
18,0,-47.57,1.0,1,0,0.17,wall_collision,,,13,0,5,8
19,0,-36.88,1.0,1,0,0.16,wall_collision,,,14,0,5,8
20,1,-41.02,1.0,1,0,0.2,wall_collision,,,15,0,5,8
21,0,-30.97,1.0,1,0,0.19,wall_collision,,,16,0,5,8
22,0,-27.94,1.0,1,0,0.18,wall_collision,,,17,0,5,10
23,0,-60.92,1.0,1,0,0.17,no_food_timeout,,,17,0,6,10
24,0,-40.76,1.0,1,0,0.17,wall_collision,,,18,0,6,10
25,0,-60.88,1.0,1,0,0.16,no_food_timeout,,,18,0,7,10
26,0,-22.28,1.0,1,0,0.15,wall_collision,,,19,0,7,10
27,0,-27.34,1.0,1,0,0.15,wall_collision,,,20,0,7,10
28,0,-25.99,1.0,1,0,0.14,wall_collision,,,21,0,7,10
29,0,-32.27,1.0,1,0,0.14,wall_collision,,,22,0,7,10
30,0,-40.19,1.0,1,0,0.13,wall_collision,,,23,0,7,10
31,0,-23.34,1.0,1,0,0.13,wall_collision,,,24,0,7,10
32,0,-44.6,1.0,1,0,0.12,wall_collision,,,25,0,7,10
33,0,-53.76,0.9993,1,0.2815,0.12,wall_collision,,,26,0,7,14
34,0,-50.15,0.9985,1,0.0656,0.12,wall_collision,,,27,0,7,14
35,1,-66.13,0.9973,1,0.0145,0.14,no_food_timeout,,,27,0,8,18
36,2,-13.48,0.9968,2,0.0048,0.19,wall_collision,,,28,0,8,18
37,0,-16.89,0.9967,2,0.0025,0.19,wall_collision,,,29,0,8,18
38,0,-61.6,0.9957,2,0.1441,0.18,no_food_timeout,,,29,0,9,20
39,0,-48.31,0.995,2,0.0117,0.18,wall_collision,,,30,0,9,20
40,0,-61.72,0.994,2,0.0696,0.18,no_food_timeout,,,30,0,10,24
41,0,-33.13,0.9935,2,0.0018,0.17,wall_collision,,,31,0,10,24
42,0,-27.17,0.9932,2,0.1335,0.17,wall_collision,,,32,0,10,24
43,2,-27.38,0.9925,2,0.0027,0.21,wall_collision,,,33,0,10,27
44,0,-46.31,0.9918,2,0.0069,0.2,wall_collision,,,34,0,10,27
45,0,-61.16,0.9908,2,0.0676,0.2,no_food_timeout,,,34,0,11,27
46,0,-31.22,0.9904,2,0.07,0.2,wall_collision,,,35,0,11,27
47,0,-55.35,0.9896,2,0.1344,0.19,wall_collision,,,36,0,11,31
48,0,-56.42,0.9887,2,0.0061,0.19,wall_collision,,,37,0,11,33
49,0,-61.12,0.9877,2,0.0713,0.18,no_food_timeout,,,37,0,12,33
50,0,-40.23,0.9871,2,0.0109,0.18,wall_collision,,,38,0,12,34
51,0,-61.16,0.9862,2,0.0676,0.18,no_food_timeout,,,38,0,13,34
52,0,-40.48,0.9856,2,0.0039,0.18,wall_collision,,,39,0,13,34
53,0,-41.17,0.985,2,0.1349,0.18,wall_collision,,,40,0,13,34
54,0,-61.24,0.984,2,0.1436,0.16,no_food_timeout,,,40,0,14,34
55,1,-64.47,0.9828,2,0.0162,0.18,wall_collision,,,41,0,14,35
56,0,-60.88,0.9818,2,0.1364,0.16,no_food_timeout,,,41,0,15,35
57,0,-61.04,0.9808,2,0.0783,0.16,no_food_timeout,,,41,0,16,35
58,0,-47.29,0.9801,2,0.0363,0.16,wall_collision,,,42,0,16,35
59,0,-34.76,0.9796,2,0.0682,0.16,wall_collision,,,43,0,16,35
60,0,-42.72,0.979,2,0.0694,0.14,wall_collision,,,44,0,16,35
61,0,-61.12,0.978,2,0.0308,0.14,no_food_timeout,,,44,0,17,35
62,2,6.39,0.978,2,0.0736,0.18,self_collision,,,44,1,17,35
63,1,-59.5,0.9768,2,0.0371,0.2,wall_collision,,,45,1,17,35
64,0,-28.6,0.9765,2,0.0986,0.2,wall_collision,,,46,1,17,35
65,0,-61.48,0.9755,2,0.0756,0.2,no_food_timeout,,,46,1,18,37
66,0,-21.87,0.9753,2,0.0279,0.2,wall_collision,,,47,1,18,37
67,0,-34.85,0.9748,2,0.0835,0.2,wall_collision,,,48,1,18,37
68,0,-18.61,0.9746,2,0.0965,0.2,wall_collision,,,49,1,18,37
69,0,-18.53,0.9744,2,0.0939,0.2,wall_collision,,,50,1,18,37
70,0,-34.07,0.974,2,0.0666,0.18,wall_collision,,,51,1,18,37
71,0,-26.6,0.9736,2,0.2905,0.18,wall_collision,,,52,1,18,37
72,1,-15.6,0.9733,2,0.0936,0.2,wall_collision,,,53,1,18,37
73,0,-24.24,0.973,2,0.2274,0.2,wall_collision,,,54,1,18,37
74,0,-61.12,0.9721,2,0.1281,0.2,no_food_timeout,,,54,1,19,37
75,2,-17.44,0.9715,2,0.0221,0.24,wall_collision,,,55,1,19,37
76,0,-37.37,0.971,2,0.0693,0.24,wall_collision,,,56,1,19,37
77,0,-60.96,0.97,2,0.0709,0.24,no_food_timeout,,,56,1,20,37
78,0,-26.89,0.9697,2,0.0902,0.24,wall_collision,,,57,1,20,37
79,0,-61.32,0.9687,2,0.1312,0.24,no_food_timeout,,,57,1,21,37
80,0,-44.6,0.9681,2,0.1864,0.24,wall_collision,,,58,1,21,37
81,1,-26.41,0.9676,2,0.0499,0.26,wall_collision,,,59,1,21,37
82,0,-33.38,0.9671,2,0.0564,0.26,wall_collision,,,60,1,21,37
83,0,-41.29,0.9665,2,0.1142,0.26,wall_collision,,,61,1,21,37
84,0,-61.04,0.9655,2,0.1261,0.26,no_food_timeout,,,61,1,22,37
85,0,-61.04,0.9646,2,0.1839,0.24,no_food_timeout,,,61,1,23,37
86,0,-44.31,0.9639,2,0.1275,0.2,wall_collision,,,62,1,23,37
87,0,-31.99,0.9635,2,0.1073,0.2,wall_collision,,,63,1,23,37
88,0,-49.07,0.9627,2,0.1082,0.2,wall_collision,,,64,1,23,40
89,0,-35.09,0.9623,2,0.1283,0.2,wall_collision,,,65,1,23,40
90,0,-50.67,0.9615,2,0.1091,0.2,wall_collision,,,66,1,23,43
91,0,-58.59,0.9606,2,0.0925,0.2,wall_collision,,,67,1,23,43
92,0,-17.1,0.9604,2,0.0465,0.2,wall_collision,,,68,1,23,43
93,0,-61.24,0.9594,2,0.0378,0.16,no_food_timeout,,,68,1,24,44
94,0,-62.0,0.9585,2,0.082,0.16,no_food_timeout,,,68,1,25,48
95,1,-52.87,0.9575,2,0.036,0.18,no_food_timeout,,,68,1,26,51
96,0,-60.92,0.9565,2,0.0753,0.18,no_food_timeout,,,68,1,27,51
97,0,-24.97,0.9562,2,0.1997,0.18,wall_collision,,,69,1,27,51
98,1,-39.26,0.9555,2,0.1321,0.2,wall_collision,,,70,1,27,51
99,0,-47.16,0.9547,2,0.0163,0.2,wall_collision,,,71,1,27,52
100,0,-61.24,0.9538,2,0.0482,0.2,no_food_timeout,7.75,27,71,1,28,53
101,1,-24.37,0.9533,2,0.0427,0.22,wall_collision,,,72,1,28,53
102,0,-24.12,0.953,2,0.1191,0.22,wall_collision,,,73,1,28,53
103,0,-35.0,0.9525,2,0.0663,0.22,wall_collision,,,74,1,28,55
104,0,-38.11,0.952,2,0.2064,0.22,wall_collision,,,75,1,28,55
105,0,-22.44,0.9518,2,0.0819,0.2,wall_collision,,,76,1,28,55
106,0,-61.08,0.9508,2,0.1761,0.2,no_food_timeout,,,76,1,29,55
107,0,-60.8,0.9498,2,0.0952,0.2,no_food_timeout,,,76,1,30,55
108,0,-28.32,0.9495,2,0.1574,0.2,wall_collision,,,77,1,30,55
